token_id,question,outcome_label,priority,source,latest_book_ts,latest_book_age_s,latest_mid,last_seen_ts
88526906868857414633639013934136043419803722562598625772086388324635780644437,Pittsburgh Pirates vs. Washington Nationals: O/U 9.5,Under,10,rn1_recent_trade,1783271919,2,0.50,1783271885
89423782573140514723587631949593331105235300540562410108274370830430797760737,Wimbledon WTA: Belinda Bencic vs Coco Gauff,Coco Gauff,10,rn1_recent_trade,1783271919,2,0.495,1783271885
97101957729424515333078504426040125292641755618442384760468620536003426048142,Spread: Baltimore Orioles (-1.5),Baltimore Orioles,10,rn1_recent_trade_closed,1783271910,11,0.405,1783271885
97578927367345092917379017120327913782324310138001079612040744689219958733188,Will Brazil win on 2026-07-05?,No,10,rn1_recent_trade,1783271919,2,0.455,1783271894
99890043809023138856211492991323192664268937058741641065385030974601205472261,Minnesota Twins vs. New York Yankees: O/U 8.5,Over,10,rn1_recent_trade_closed,1783271919,2,0.465,1783271885
100822948280263389611027488934436522630572744435216064403085357428630367823006,Tampa Bay Rays vs. Boston Red Sox,Tampa Bay Rays,20,rn1_open_holding,1783271867,54,0.46,1783271885
102817745237795016646909369490574970396986713942888132502045241074483040329051,Arizona Diamondbacks vs. St. Louis Cardinals: O/U 9.5,Over,20,rn1_open_holding,1783271721,200,0.525,1783271885
109328202386095886972600541953568638524792696049207827227646268234029865418104,Boston Red Sox vs. New York Yankees: O/U 9.5,Under,20,rn1_open_holding,1783271826,95,0.65,1783271885
20900325813964862985642454766517086699715225132432892736806984159416875271701,Detroit Tigers vs. Cleveland Guardians: O/U 9.5,Under,20,rn1_open_holding,1783263302,8619,0.56,1783271885
33858802857945893001317385518284289046204202763488247469582949803342079609873,Boston Red Sox vs. New York Yankees: O/U 10.5,Under,20,rn1_open_holding,1783258138,13783,0.725,1783271885
37710965300940401002130076167900941123808478497926312022865628128768175585167,Boston Red Sox vs. New York Yankees,Boston Red Sox,20,rn1_open_holding,1783271826,95,0.505,1783271885
39832701545690665052464566361517180109721294037130531193336030291562909597078,Atlanta Braves vs. Chicago White Sox: O/U 8.5,Over,20,rn1_open_holding,1783271891,30,0.735,1783271885
44863670880550605751896761063028875611149757253801391236917332940538068989671,Arizona Diamondbacks vs. St. Louis Cardinals: O/U 8.5,Over,20,rn1_open_holding,1783271828,93,0.235,1783271885
46779723381704339196945414642157562369699423381301456693265473805729782194057,Arizona Diamondbacks vs. St. Louis Cardinals,Arizona Diamondbacks,20,rn1_open_holding,1783271815,106,0.54,1783271885
50758375613609205206722321143299691492416072642609722392299342065304974315278,Atlanta Braves vs. Chicago White Sox,Atlanta Braves,20,rn1_open_holding,1783271787,134,0.525,1783271885
55493613511176998081819315048480012158342616545272583543226066833035560810012,Boston Red Sox vs. New York Yankees: O/U 7.5,Under,20,rn1_open_holding,1783271879,42,0.575,1783271885
5896699598633116714020056796075028215404827881700347064018525836602350974551,Atlanta Braves vs. Chicago White Sox,Chicago White Sox,20,rn1_open_holding,1783271787,134,0.475,1783271885
64255192416223803782566477720245353555178582398343031312178158996467616070925,Spread: Boston Red Sox (-1.5),New York Yankees,20,rn1_open_holding,1783271779,142,0.745,1783271885
6717639513948672314777325379275055917033486352799749850924617039051853169358,Boston Red Sox vs. New York Yankees: O/U 10.5,Over,20,rn1_open_holding,1783258136,13785,0.275,1783271885
73474564211391953630981582946164850538866938915152946906783272888101030541319,San Francisco Giants vs. Atlanta Braves: O/U 7.5,Over,20,rn1_open_holding,1783271891,30,0.72,1783271885
76254409251359300101773180995111440089660082750584945296626585840776125503405,Tampa Bay Rays vs. Boston Red Sox,Boston Red Sox,20,rn1_open_holding,1783271867,54,0.54,1783271885
76411050114818173622082591399147308552927640081052157232695534490267968760333,Toronto Blue Jays vs. Chicago Cubs,Toronto Blue Jays,20,rn1_open_holding,1783271591,330,0.435,1783271885
77199321860612511397808904836318319472808691500639566938565237469034135093884,Boston Red Sox vs. New York Yankees: O/U 8.5,Over,20,rn1_open_holding,1783271699,222,0.31,1783271885
79304836036509228409967938239005199968619351350023475876399122113797544264537,Spread: New York Yankees (-1.5),Boston Red Sox,20,rn1_open_holding,1783271762,159,0.50,1783271885
92374654664183743604747369470609132370319600567702702962619405328379735719953,Spread: New York Yankees (-1.5),New York Yankees,20,rn1_open_holding,1783271762,159,0.50,1783271885
96836228201794844622945838043146844817568481033220546312063092006402562136679,Boston Red Sox vs. New York Yankees,New York Yankees,20,rn1_open_holding,1783271826,95,0.495,1783271885
9895097611697410479950333594702973431025230627336641447590897043720220092124,Boston Red Sox vs. New York Yankees: O/U 8.5,Under,20,rn1_open_holding,1783271699,222,0.69,1783271885
105654713241167797590254709131417748215287316658191010694033065067279349239377,Will Brazil win on 2026-07-05?,Yes,30,world_cup_keyword,1783271920,1,0.545,1783271894
105844734295575288257185771754511174244035005860415059405037425760007389471865,Brazil vs. Norway: Both Teams to Score,Yes,30,world_cup_keyword,1783271920,1,0.615,1783271894
28156364374342550546978910216854726989295625072697131344701901063736485037038,Will England win on 2026-07-05?,No,30,world_cup_keyword,1783271920,1,0.605,1783271894
63332580371134698667593922708614440584203480837493423385896730577676477084507,Will Norway win on 2026-07-05?,No,30,world_cup_keyword,1783271920,1,0.805,1783271894
90792654144911359496837874866211621977147933055686887812707611684794891043263,Mexico vs. England: Both Teams to Score,Yes,30,world_cup_keyword,1783271920,1,0.495,1783271894
107738532966090872977513177306688562435593315271320223404326795233147500428680,Mexico vs. England: Mexico O/U 2.5,Over,40,world_cup_market_type,1783271920,1,0.095,1783271894
110513522638295293638556367257231952882304993443123563168526486821292870588519,Brazil vs. Norway: Brazil O/U 0.5,Under,40,world_cup_market_type,1783271920,1,0.135,1783271894
113072399752980536518512103968053214847848659061114867044971562146978151403007,Exact Score: Mexico 2 - 2 England?,Yes,40,world_cup_market_type,1783271920,1,0.0485,1783271894
114009101994248487882262090660733880737890977014266109949631492807263609540775,Mexico vs. England: England O/U 1.5,Over,40,world_cup_market_type,1783271920,1,0.345,1783271894
2291750774192576197344440913463596564881206145267152350886975296763990714853,Mexico vs. England: Team to Advance,England,40,world_cup_market_type,1783271920,1,0.525,1783271894
34703655850152332475863940363219967010191001578695377291044073353854456469771,Brazil vs. Norway: O/U 4.5,Over,40,world_cup_market_type,1783271920,1,0.175,1783271894
54696457698401616509084525599395959255982881999229971665852496207099414629878,Exact Score: Mexico 1 - 2 England?,Yes,40,world_cup_market_type,1783271920,1,0.085,1783271894
58718286754184478781624834796038205226552330150981204330603874241964210785412,Exact Score: Brazil 2 - 1 Norway?,Yes,40,world_cup_market_type,1783271920,1,0.125,1783271894
