trade_utc,wallet,wallet_label,token_id,condition_id,question,outcome_label,side,role,fill_price,fill_size,book_before_age_s,best_bid_before,best_ask_before,mid_before,spread_before,book_after_age_s,best_bid_after,best_ask_after,context_status,null_reason
2026-07-04T17:45:20+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,59228419522118921740322073257400202560207901520600197934079200999523862262784,0xa5d56c5d51f8f94ff5ae8055ab840a457693a977f2823a4247b51156fd505969,Canada vs. Morocco: 1st Half O/U 0.5,Over,BUY,maker,0.13,7.4711,26,0.14,0.15,0.145,0.01,3,0.12,0.13,weak,
2026-07-04T17:45:17+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,59228419522118921740322073257400202560207901520600197934079200999523862262784,0xa5d56c5d51f8f94ff5ae8055ab840a457693a977f2823a4247b51156fd505969,Canada vs. Morocco: 1st Half O/U 0.5,Over,BUY,maker,0.13,15.1125,23,0.14,0.15,0.145,0.01,6,0.12,0.13,weak,
2026-07-04T17:45:17+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,1996140398543278758228629946415453513365774367428917096049064214344910391014,0xfe2a6fe419c8497017b47d8b8a9ca875c92be0fc4f5f3ebe33971944c5cb56d7,Exact Score: Canada 1 - 0 Morocco?,No,BUY,maker,0.84,109.2,4,0.84,0.86,0.85,0.02,26,0.84,0.85,good,
2026-07-04T17:45:17+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,59228419522118921740322073257400202560207901520600197934079200999523862262784,0xa5d56c5d51f8f94ff5ae8055ab840a457693a977f2823a4247b51156fd505969,Canada vs. Morocco: 1st Half O/U 0.5,Over,BUY,maker,0.13,19.0216,23,0.14,0.15,0.145,0.01,6,0.12,0.13,weak,
2026-07-04T17:45:17+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,59228419522118921740322073257400202560207901520600197934079200999523862262784,0xa5d56c5d51f8f94ff5ae8055ab840a457693a977f2823a4247b51156fd505969,Canada vs. Morocco: 1st Half O/U 0.5,Over,BUY,maker,0.13,8.0769,23,0.14,0.15,0.145,0.01,6,0.12,0.13,weak,
2026-07-04T17:45:17+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,22574033557479727232684177925599885591442189795867764109586668132624383402779,0xb9aeb568d4a29fb7f30ca7b433e928a22c13f9d60f9328ce09709623aa4f0c6b,Canada vs. Morocco: Canada O/U 2.5,Under,BUY,maker,0.978,4526.184,15,0.971,0.978,0.9745,0.007,5,0.971,0.978,weak,
2026-07-04T17:45:17+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,59228419522118921740322073257400202560207901520600197934079200999523862262784,0xa5d56c5d51f8f94ff5ae8055ab840a457693a977f2823a4247b51156fd505969,Canada vs. Morocco: 1st Half O/U 0.5,Over,BUY,maker,0.13,15.7638,23,0.14,0.15,0.145,0.01,6,0.12,0.13,weak,
2026-07-04T17:45:16+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,31307193838868775164605761248469504056952639938744991980169462404087039704273,0x0c4334e84edeff507fe1907f7c206a883027983f74b81469fd48d8a7746cec97,Wimbledon ATP: Zizou Bergs vs Arthur Fery,Zizou Bergs,BUY,maker,0.131,6.55,369,0.564,0.57,0.567,0.006,,,,stale,book_before_too_old
2026-07-04T17:45:16+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,59228419522118921740322073257400202560207901520600197934079200999523862262784,0xa5d56c5d51f8f94ff5ae8055ab840a457693a977f2823a4247b51156fd505969,Canada vs. Morocco: 1st Half O/U 0.5,Over,BUY,maker,0.13,3.6478,22,0.14,0.15,0.145,0.01,7,0.12,0.13,weak,
2026-07-04T17:45:16+00:00,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,31307193838868775164605761248469504056952639938744991980169462404087039704273,0x0c4334e84edeff507fe1907f7c206a883027983f74b81469fd48d8a7746cec97,Wimbledon ATP: Zizou Bergs vs Arthur Fery,Zizou Bergs,BUY,maker,0.131,121.175,369,0.564,0.57,0.567,0.006,,,,stale,book_before_too_old
