,wallet_label,question,fills,notional,estimated_edge_usdc,first_trade,last_trade,unique_tokens,buy_fills,sell_fills,maker_fills,taker_fills,unenriched_fills,duration_minutes,edge_bps
73,RN1,Paraguay vs. France: O/U 4.5,3,789.81,4.68,2026-07-04 21:20:50,2026-07-04 21:26:43,2,3,0,3,0,0,5.88,59.29
74,RN1,Paraguay vs. France: O/U 5.5,8,4852.16,20.03,2026-07-04 21:27:14,2026-07-04 21:36:23,2,8,0,5,0,3,9.15,41.28
75,RN1,Paraguay vs. France: O/U 6.5,5,4578.55,16.57,2026-07-04 21:19:44,2026-07-04 21:28:13,2,5,0,5,0,0,8.48,36.19
76,RN1,Paraguay vs. France: Paraguay O/U 2.5,7,691.65,5.86,2026-07-04 21:19:31,2026-07-04 21:23:46,2,7,0,7,0,0,4.25,84.72
77,RN1,Paraguay vs. France: Team to Advance,10,2485.43,83.24,2026-07-04 21:20:53,2026-07-04 21:34:10,2,10,0,9,0,1,13.28,334.91
78,RN1,Pittsburgh Pirates vs. Washington Nationals: O/U 10.5,18,983.61,19.91,2026-07-04 17:39:44,2026-07-04 17:43:20,1,18,0,17,1,0,3.6,202.39
79,RN1,Pittsburgh Pirates vs. Washington Nationals: O/U 9.5,3,631.52,-10.58,2026-07-04 17:43:17,2026-07-04 17:46:46,2,3,0,3,0,0,3.48,-167.6
80,RN1,Quito: Samuel Heredia vs Matheus Pucinelli de Almeida,2,373.1,16.98,2026-07-04 19:22:34,2026-07-04 19:41:01,2,2,0,2,0,0,18.45,455.0
81,RN1,Spread: Canada (-1.5),15,4832.7,33.9,2026-07-04 17:51:02,2026-07-04 18:17:08,2,15,0,15,0,0,26.1,70.14
82,RN1,Spread: Canada (-2.5),1,9.4,14.1,2026-07-04 18:15:05,2026-07-04 18:15:05,1,1,0,1,0,0,0.0,15000.0
83,RN1,Spread: Detroit Tigers (-1.5),1,649.21,9.41,2026-07-04 21:05:28,2026-07-04 21:05:28,1,1,0,1,0,0,0.0,144.93
84,RN1,Spread: France (-1.5),118,56740.41,570.98,2026-07-04 20:41:46,2026-07-04 21:39:37,2,118,0,108,1,9,57.85,100.63
85,RN1,Spread: France (-2.5),22,7164.39,207.98,2026-07-04 19:24:44,2026-07-04 21:11:59,2,22,0,22,0,0,107.25,290.29
86,RN1,Spread: Morocco (-1.5),45,26000.93,664.34,2026-07-04 17:54:02,2026-07-04 18:56:07,2,45,0,43,2,0,62.08,255.51
87,RN1,Spread: Morocco (-2.5),21,19382.54,159.17,2026-07-04 17:47:20,2026-07-04 18:47:35,2,21,0,21,0,0,60.25,82.12
88,RN1,Spread: Paraguay (-1.5),1,26.15,6.54,2026-07-04 21:24:49,2026-07-04 21:24:49,1,1,0,1,0,0,0.0,2500.0
89,RN1,Spread: Seattle Mariners (-1.5),2,2.21,0.38,2026-07-04 20:50:14,2026-07-04 21:07:55,1,2,0,2,0,0,17.68,1730.4
90,RN1,Toronto Blue Jays vs. Seattle Mariners,19,5704.83,37.19,2026-07-04 20:24:37,2026-07-04 20:55:05,2,19,0,17,2,0,30.47,65.19
91,RN1,Toronto Blue Jays vs. Seattle Mariners: O/U 7.5,10,926.19,75.77,2026-07-04 20:25:55,2026-07-04 21:36:50,1,10,0,6,3,1,70.92,818.07
92,RN1,Will Beijing Guoan FC win on 2026-07-04?,1,13.26,0.12,2026-07-04 11:26:07,2026-07-04 11:26:07,1,1,0,1,0,0,0.0,87.72
93,RN1,Will Canada vs. Morocco end in a draw?,93,44089.8,178.03,2026-07-04 17:45:52,2026-07-04 18:56:11,2,93,0,93,0,0,70.32,40.38
94,RN1,Will Canada win on 2026-07-04?,235,59033.53,371.6,2026-07-04 17:39:04,2026-07-04 18:49:28,2,235,0,225,1,9,70.4,62.95
95,RN1,Will France win on 2026-07-04?,30,14567.98,79.53,2026-07-04 21:10:19,2026-07-04 21:28:28,2,30,0,30,0,0,18.15,54.59
96,RN1,Will Morocco win on 2026-07-04?,385,111333.67,1154.29,2026-07-04 17:43:44,2026-07-04 19:00:32,2,385,0,383,2,0,76.8,103.68
97,RN1,Will Paraguay vs. France end in a draw?,12,998.47,28.32,2026-07-04 21:29:22,2026-07-04 21:35:29,1,12,0,11,0,1,6.12,283.59
98,RN1,Will Paraguay win on 2026-07-04?,179,29826.59,81.01,2026-07-04 21:09:08,2026-07-04 21:39:37,2,179,0,105,0,74,30.48,27.16
99,RN1,Will Shanghai Haigang FC win on 2026-07-04?,1,2.05,0.02,2026-07-04 11:25:59,2026-07-04 11:25:59,1,1,0,1,0,0,0.0,121.95
100,RN1,Wimbledon ATP: Alex de Minaur vs Zachary Svajda,1,1.37,-0.0,2026-07-04 11:25:53,2026-07-04 11:25:53,1,1,0,1,0,0,0.0,-5.73
101,RN1,Wimbledon ATP: Frances Tiafoe vs Alexander Bublik,218,89736.16,623.3,2026-07-04 17:39:46,2026-07-04 21:16:02,2,218,0,210,8,0,216.27,69.46
102,RN1,Wimbledon ATP: Grigor Dimitrov vs Matteo Berrettini,82,17258.35,144.85,2026-07-04 17:39:56,2026-07-04 20:45:50,2,82,0,81,1,0,185.9,83.93
103,RN1,Wimbledon ATP: Zizou Bergs vs Arthur Fery,3,19.72,-0.03,2026-07-04 17:39:28,2026-07-04 17:39:55,2,3,0,3,0,0,0.45,-15.25
104,RN1,Wimbledon WTA: Emma Navarro vs Marta Kostyuk,2,617.32,-22.62,2026-07-04 11:25:43,2026-07-04 11:26:08,2,2,0,2,0,0,0.42,-366.42
105,RN1,Wimbledon WTA: Liudmila Samsonova vs Marie Bouzkova,1,20.96,0.0,2026-07-04 11:25:19,2026-07-04 11:25:19,1,1,0,1,0,0,0.0,0.0
