,wallet_label,fills,first_trade,last_trade,duration_minutes,unique_tokens,unique_questions,buy_fills,sell_fills,maker_fills,taker_fills,unenriched_fills,notional_total,estimated_edge_total,edge_bps,positive_edge_share,strict_context_share,valid_context_share
1,RN1,3979,2026-07-04 11:20:38,2026-07-04 21:39:37,618.98,162,96,3979,0,3707,79,193,1210480.08,16501.99,136.33,90.98,92.39,100.0
0,Mind.The.Gap,312,2026-07-04 17:31:46,2026-07-04 19:01:56,90.17,17,10,234,78,273,39,0,197869.82,-1970.78,-99.6,70.83,100.0,100.0
