wallet_label,fills,notional_total,edge_bps,unique_questions,unique_tokens,weighted_avg_net_to_gross,pct_tokens_with_two_sides,pct_notional_two_sides,binary_completion_candidates,theoretical_pair_edge_usdc
RN1,3979,1210480.08,136.33,96,162,1.0,0.0,0.0,34,12543.83
Mind.The.Gap,312,197869.82,-99.6,10,17,0.4372231803184498,70.58823529411765,85.1931545761263,1,0.0
