,wallet_label,fills,first_trade,last_trade,duration_minutes,unique_tokens,unique_questions,buy_fills,sell_fills,maker_fills,taker_fills,unenriched_fills,notional_total,estimated_edge_total,edge_bps,positive_edge_share,strict_context_share,valid_context_share
1,RN1,2578,2026-07-04 17:32:34,2026-07-04 19:01:29,88.92,80,47,2578,0,2513,56,9,762638.49,11343.27,148.74,90.26,91.58,100.0
0,Mind.The.Gap,312,2026-07-04 17:31:46,2026-07-04 19:01:56,90.17,17,10,234,78,273,39,0,197869.82,-1970.78,-99.6,70.83,100.0,100.0
