,wallet_label,token_id,question,outcome_label,buy_shares,sell_shares,buy_notional,sell_notional,total_notional,fills,net_shares,gross_shares,net_to_gross_ratio
60,RN1,20750615321298371435771711011448133448743671070163766999225573342620362491557,Paraguay vs. France: O/U 2.5,Under,14473.260570999997,0.0,7906.103617,0.0,7906.103617,58,14473.260570999997,14473.260570999997,1.0
61,RN1,21003556192144919375774622614831987692873521314901182152440818799800026582812,Paraguay vs. France: O/U 1.5,Over,17897.120446999998,0.0,13657.098521999998,0.0,13657.098522,11,17897.120446999998,17897.120446999998,1.0
62,RN1,21768823063425705834344898922772041926865204761442619231134822499901743767561,Will France win on 2026-07-04?,No,8775.988145,0.0,1711.317748,0.0,1711.317748,7,8775.988145,8775.988145,1.0
63,RN1,22574033557479727232684177925599885591442189795867764109586668132624383402779,Canada vs. Morocco: Canada O/U 2.5,Under,18554.0,0.0,18145.728,0.0,18145.728,6,18554.0,18554.0,1.0
64,RN1,24230251396044528501979620091877508313113908803535913894755163787312733286017,Will Beijing Guoan FC win on 2026-07-04?,Yes,23.255812,0.0,13.255813,0.0,13.255813,1,23.255812,23.255812,1.0
65,RN1,2524061981635398457766998446757701816337412600356105730587329958815271899570,Paraguay vs. France: O/U 6.5,Under,4573.333332,0.0,4532.173333,0.0,4532.173333,1,4573.333332,4573.333332,1.0
66,RN1,26080870624122259633890510176077042795008150807691589226821582617783978723079,Spread: France (-2.5),Paraguay,95.148955,0.0,63.692659,0.0,63.692659,5,95.148955,95.148955,1.0
67,RN1,2653285650730069371897133527695311034463738192851615507090506539982485879816,Toronto Blue Jays vs. Seattle Mariners,Seattle Mariners,5660.453332,0.0,4256.376813,0.0,4256.376813,14,5660.453332,5660.453332,1.0
68,RN1,26895713768902859572307099332179579216237114281062297113584226124720853329935,Spread: Morocco (-2.5),Morocco,17355.701999999997,0.0,394.66031000000004,0.0,394.66031000000004,8,17355.701999999997,17355.701999999997,1.0
69,RN1,27776521898513531479368205340917221397038487959472907816819067763897945140843,Canada vs. Morocco: Draw at halftime?,Yes,314.13,0.0,301.38669999999996,0.0,301.38669999999996,6,314.13,314.13,1.0
70,RN1,28449484811219621875932275507921336830930167103245979289503805508327954562888,Paraguay vs. France: France O/U 0.5,Over,4305.88,0.0,3961.4096,0.0,3961.4096,3,4305.88,4305.88,1.0
71,RN1,30649231830422683831551774801045673383063206089219620441843620568566718995722,Wimbledon ATP: Zizou Bergs vs Arthur Fery,Arthur Fery,10.92,0.0,4.83756,0.0,4.83756,2,10.92,10.92,1.0
