,trade_utc,wallet,role,side,token_id,outcome_label,question,fill_price,fill_size,delta_usdc,book_before_utc,book_before_age_s,best_bid_before,best_ask_before,spread_before,mid_before,book_after_utc,book_after_age_s,best_bid_after,best_ask_after,spread_after,mid_after,context_status,edge_vs_mid_before,estimated_edge_usdc,wallet_label,notional,signed_shares,valid_before_book,strict_before_book,is_buy,is_sell,is_maker,is_taker,is_unenriched,edge_vs_mid_calc,estimated_edge_calc,edge_diff,estimated_edge_diff,book_before_age_bucket,spread_bucket,price_bucket,mid_drift_bps,alpha_bps,edge_bps_fill,minute_bucket,is_buy_num,is_maker_num,is_taker_num,abs_mid_distance,log_notional,cluster_3,cluster_4,cluster_5
0,2026-07-04 19:01:56,0x83255595ba1fadd2e734cb30a0fb8110301a19cc,maker,buy,10609662626498431851840947167646713641731799682558722152460847719580461702230,No,Canada vs. Morocco: Both Teams to Score,0.98,50.0,-49.0,2026-07-04 19:01:43,13,0.97,0.99,0.02,0.98,2026-07-04 19:02:12,16.0,0.99,,,,good,0.0,0.0,Mind.The.Gap,49.0,50.0,True,True,True,False,True,False,False,0.0,0.0,0.0,0.0,6-15s,1-2c,0.95-1.00,,,0.0,2026-07-04 19:01:00,1,1,0,0.0,3.912023005428146,0,0,0
1,2026-07-04 19:01:53,0x83255595ba1fadd2e734cb30a0fb8110301a19cc,maker,buy,10609662626498431851840947167646713641731799682558722152460847719580461702230,No,Canada vs. Morocco: Both Teams to Score,0.98,236.0,-231.28,2026-07-04 19:01:43,10,0.97,0.99,0.02,0.98,2026-07-04 19:02:12,19.0,0.99,,,,good,0.0,0.0,Mind.The.Gap,231.28,236.0,True,True,True,False,True,False,False,0.0,0.0,0.0,0.0,6-15s,1-2c,0.95-1.00,,,0.0,2026-07-04 19:01:00,1,1,0,0.0,5.447943540503849,0,0,0
2,2026-07-04 19:01:52,0x83255595ba1fadd2e734cb30a0fb8110301a19cc,maker,buy,10609662626498431851840947167646713641731799682558722152460847719580461702230,No,Canada vs. Morocco: Both Teams to Score,0.98,137.97,-135.2106,2026-07-04 19:01:43,9,0.97,0.99,0.02,0.98,2026-07-04 19:02:12,20.0,0.99,,,,good,0.0,0.0,Mind.The.Gap,135.2106,137.97,True,True,True,False,True,False,False,0.0,0.0,0.0,0.0,6-15s,1-2c,0.95-1.00,,,0.0,2026-07-04 19:01:00,1,1,0,0.0,4.914202217412473,0,0,0
3,2026-07-04 19:01:52,0x83255595ba1fadd2e734cb30a0fb8110301a19cc,maker,buy,10609662626498431851840947167646713641731799682558722152460847719580461702230,No,Canada vs. Morocco: Both Teams to Score,0.98,10.42,-10.2116,2026-07-04 19:01:43,9,0.97,0.99,0.02,0.98,2026-07-04 19:02:12,20.0,0.99,,,,good,0.0,0.0,Mind.The.Gap,10.2116,10.42,True,True,True,False,True,False,False,0.0,0.0,0.0,0.0,6-15s,1-2c,0.95-1.00,,,0.0,2026-07-04 19:01:00,1,1,0,0.0,2.4169489566047733,0,0,0
4,2026-07-04 19:01:49,0x83255595ba1fadd2e734cb30a0fb8110301a19cc,maker,buy,26895713768902859572307099332179579216237114281062297113584226124720853329935,Morocco,Spread: Morocco (-2.5),0.53,50.0,-26.5,2026-07-04 19:01:43,6,0.05,0.12,0.07,0.085,2026-07-04 19:02:12,23.0,0.912,0.92,0.008,0.916,good,-0.445,-22.25,Mind.The.Gap,26.5,50.0,True,True,True,False,True,False,False,-0.445,-22.25,0.0,0.0,6-15s,5-10c,0.40-0.60,97764.70588235295,97764.70588235295,-8396.22641509434,2026-07-04 19:01:00,1,1,0,0.445,3.3141860046725258,2,2,2
5,2026-07-04 19:01:49,0x83255595ba1fadd2e734cb30a0fb8110301a19cc,maker,buy,26895713768902859572307099332179579216237114281062297113584226124720853329935,Morocco,Spread: Morocco (-2.5),0.5300000013192983,181.914892,-96.414893,2026-07-04 19:01:43,6,0.05,0.12,0.07,0.085,2026-07-04 19:02:12,23.0,0.912,0.92,0.008,0.916,good,-0.4450000013192982,-80.95212718,Mind.The.Gap,96.414893,181.914892,True,True,True,False,True,False,False,-0.44500000131929823,-80.95212718,5.551115123125783e-17,0.0,6-15s,5-10c,0.40-0.60,97764.70588235295,97764.70588235295,-8396.22641908652,2026-07-04 19:01:00,1,1,0,0.44500000131929823,4.578979104503776,2,2,2
6,2026-07-04 19:01:49,0x83255595ba1fadd2e734cb30a0fb8110301a19cc,maker,buy,10609662626498431851840947167646713641731799682558722152460847719580461702230,No,Canada vs. Morocco: Both Teams to Score,0.98,250.0,-245.0,2026-07-04 19:01:43,6,0.97,0.99,0.02,0.98,2026-07-04 19:02:12,23.0,0.99,,,,good,0.0,0.0,Mind.The.Gap,245.0,250.0,True,True,True,False,True,False,False,0.0,0.0,0.0,0.0,6-15s,1-2c,0.95-1.00,,,0.0,2026-07-04 19:01:00,1,1,0,0.0,5.5053315359323625,0,0,0
7,2026-07-04 19:01:49,0x83255595ba1fadd2e734cb30a0fb8110301a19cc,maker,buy,26895713768902859572307099332179579216237114281062297113584226124720853329935,Morocco,Spread: Morocco (-2.5),0.5300000023225835,198.055318,-104.969319,2026-07-04 19:01:43,6,0.05,0.12,0.07,0.085,2026-07-04 19:02:12,23.0,0.912,0.92,0.008,0.916,good,-0.4450000023225834,-88.13461697000001,Mind.The.Gap,104.969319,198.055318,True,True,True,False,True,False,False,-0.44500000232258347,-88.13461697000001,5.551115123125783e-17,0.0,6-15s,5-10c,0.40-0.60,97764.70588235295,97764.70588235295,-8396.22642212245,2026-07-04 19:01:00,1,1,0,0.44500000232258347,4.663149608819016,2,2,2
8,2026-07-04 19:01:49,0x83255595ba1fadd2e734cb30a0fb8110301a19cc,maker,buy,26895713768902859572307099332179579216237114281062297113584226124720853329935,Morocco,Spread: Morocco (-2.5),0.53,240.0,-127.2,2026-07-04 19:01:43,6,0.05,0.12,0.07,0.085,2026-07-04 19:02:12,23.0,0.912,0.92,0.008,0.916,good,-0.445,-106.8,Mind.The.Gap,127.2,240.0,True,True,True,False,True,False,False,-0.445,-106.8,0.0,0.0,6-15s,5-10c,0.40-0.60,97764.70588235295,97764.70588235295,-8396.22641509434,2026-07-04 19:01:00,1,1,0,0.445,4.853591544486569,2,2,2
9,2026-07-04 19:01:49,0x83255595ba1fadd2e734cb30a0fb8110301a19cc,maker,buy,26895713768902859572307099332179579216237114281062297113584226124720853329935,Morocco,Spread: Morocco (-2.5),0.53,600.0,-318.0,2026-07-04 19:01:43,6,0.05,0.12,0.07,0.085,2026-07-04 19:02:12,23.0,0.912,0.92,0.008,0.916,good,-0.445,-267.0,Mind.The.Gap,318.0,600.0,True,True,True,False,True,False,False,-0.445,-267.0,0.0,0.0,6-15s,5-10c,0.40-0.60,97764.70588235295,97764.70588235295,-8396.22641509434,2026-07-04 19:01:00,1,1,0,0.445,5.765191102784844,2,2,2
