scope,trade_buy_cost,trade_sell_proceeds,merge_proceeds,redeem_proceeds,rewards_rebates,estimated_fees,realized_merge_edge_usdc,realized_redeem_edge_usdc,realized_directional_pnl,completion_mechanics_pnl,ledger_gross_pnl,pct_gross_from_completion,reconstructed_net_after_fees,projection_bond_merge_pnl,projection_redemption_pnl,projection_directional_pnl,xcheck_merge_delta,xcheck_redeem_delta,notes
all,395700742.532861,1100275.214780,161532889.397044,243489411.412557,321717.003000,1263982.596800,5580966.966106,4810221.136107,441323.543657,10391188.102214,11154228.648871,93.159181,9890246.052071,5544232.168227,1364656.825058,441323.543657,36734.797879,3445564.311049,ledger_gross_pnl reconstructed fresh from this replay = realized_merge_edge + realized_redeem_edge + directional_sell_pnl + rewards. projection_* columns are a labelled cross-check only (pnl_decomposition is rebuilt on-demand by `pmr derive` and may lag the live ledger). xcheck_merge_delta ~0 validates the merge edge; a large xcheck_redeem_delta usually reflects projection staleness.
sports,392967553.717360,1097893.161382,160442806.108977,242033059.057149,0.000000,1263982.596800,5557488.709918,4834635.353855,441398.693109,10392124.063773,10833522.756882,95.925622,9569540.160082,NA,NA,NA,NA,NA,ledger_gross_pnl reconstructed fresh from this replay = realized_merge_edge + realized_redeem_edge + directional_sell_pnl + rewards. projection_* columns are a labelled cross-check only (pnl_decomposition is rebuilt on-demand by `pmr derive` and may lag the live ledger). xcheck_merge_delta ~0 validates the merge edge; a large xcheck_redeem_delta usually reflects projection staleness.
