condition_id,category,merge_sets,consumed_token0_cost_basis,consumed_token1_cost_basis,pair_cost_per_set,merge_payout_usdc,realized_edge_usdc,realized_edge_per_set,realized_edge_bps
0x5904ad63ea83ce2edbda279ee7ddf4857fb16825c5fbaf251493c94683e04f6a,Sports,60.000000,33.200000,24.109091,0.955152,60.000000,2.690909,0.044848,448.484848
0x4fdd7e76922187e362e41bceb238b338d07dd736607efa1aeb2357312b40044a,Sports,6.000000,1.933333,1.560000,0.582222,6.000000,2.506667,0.417778,4177.777778
0xc567e58356c82b97e0f2327a65ad235ed2da9fd6a01a7275197682bcd510dfe2,Sports,20.000000,2.684367,18.100000,1.039218,20.000000,-0.784367,-0.039218,-392.183638
0x8620dce1014a75798c4db7e82336e0214edce39bf96b8877ae8895918fadb26d,Sports,59.990302,20.351041,36.093503,0.940894,59.990302,3.545758,0.059106,591.055234
0x8fcb0ea92bdff5807ff2c1f3a79eb74974f2d32ae74029357ea72b74235aae66,Sports,59.044602,4.344643,48.235915,0.890523,59.044602,6.464044,0.109477,1094.773125
0xa5eebf885fc2f0de5f1ef755d32512a48eac80cf778f0161dd68d352b10fe45f,Sports,40.000000,9.110570,21.200000,0.757764,40.000000,9.689430,0.242236,2422.357523
0x42778a940258503ee75e9107e65b6a0c3a09fb8db128d3fade3dd5ca3e658bf2,Sports,10.000000,0.400000,9.200000,0.960000,10.000000,0.400000,0.040000,400.000000
0xeb11edd2a7715869f822d40ac36d6e89c36671ac3b3194da14160022311f0967,Sports,46.849314,20.106245,13.849315,0.724782,46.849314,12.893754,0.275218,2752.175620
0xbab973f427549e8ccdb387120b5e59c21d4b9df232f1a57628b30cd6df76e44c,Sports,60.000000,41.100000,14.305898,0.923432,60.000000,4.594102,0.076568,765.683749
0xdeec503a0e6ca794e5e91140863665591532d2c440dce588172655b725b43040,Sports,60.000000,57.000000,8.776731,1.096279,60.000000,-5.776731,-0.096279,-962.788460
0x81edd9608d270848e4c572d240ffa38419e020b4075c1f529e91bf650f1e2bf5,Sports,59.000000,24.878333,32.430000,0.971328,59.000000,1.691667,0.028672,286.723164
0x7fc3e041ca3fd4cd90b32a8747dcc2859dd5d7a72fb4758121baac5add247b32,Sports,79.360000,71.933350,2.536474,0.938380,79.360000,4.890176,0.061620,616.201607
0xe1a9809585c0a0a91040eb9572a8170acba8a91fe983f98fa8887cea6270bc0e,Sports,30.000000,14.880000,13.800000,0.956000,30.000000,1.320000,0.044000,440.000000
0x1053b920f7d52a567d1227f110c383d3b9c2e074a9e2116d05e2001f28819075,Sports,50.700302,40.859503,10.127565,1.005656,50.700302,-0.286766,-0.005656,-56.560951
0x8a2d3713766f69f20d2ee86ec79c8b4833e6b9bd0d0760f18ebefb7213cef5cb,Sports,141.759099,69.128506,64.242593,0.940829,141.759099,8.388000,0.059171,591.708057
0x981fa3e9ecd53c70ba203c4452dd0c05afea734d7f58434ea2c83f11e1f21e29,Sports,50.319566,9.709587,29.688544,0.782958,50.319566,10.921435,0.217042,2170.415176
0x408cf7444368431a117a94c530da030de9c12def3d6398722b0f8a668ed88b2d,Sports,249.922306,146.300907,111.738252,1.032478,249.922306,-8.116853,-0.032478,-324.775041
0x532ed9cd36a258a22df91fc75a4f1315919b0afb0fe1b9997e221182537a9728,Sports,378.430000,254.820800,100.912813,0.940025,378.430000,22.696387,0.059975,599.751258
0x10b6c1fb830e0b8a1b05a7c45ed8232cdc129a197522036c70fbe3774b17c55b,Sports,1105.755758,656.880802,344.844769,0.905919,1105.755758,104.030187,0.094081,940.806196
0x6036d9c94b5511a7481fcb128bd47e9843460305b097ad5ab4348d6db92fc8ae,Sports,16.590078,0.564094,15.169322,0.948363,16.590078,0.856662,0.051637,516.369868
0x11d1a8bd955659b9781a73b33b8655f433018923da6431ba84d4baebd6dfc96d,Sports,896.357851,317.615158,237.617853,0.619432,896.357851,341.124840,0.380568,3805.676941
0x3f20af336afe23ad65a5ee2559c7f98aeb1b8431f8f29bda80802360cc763c06,Sports,140.000000,42.701275,86.980000,0.926295,140.000000,10.318725,0.073705,737.051808
0x0ab71749b9f2dec6b7d6e6a1efd871890d1edce885b0cb5754ef36b23c61a923,Sports,132.478716,112.909184,19.548723,0.999843,132.478716,0.020809,0.000157,1.570717
0x10a51b931d5a7865b00bb0a3a70fac15517ca4cd55006c56097b80d8b89362a3,Sports,360.000000,45.760000,273.155556,0.885877,360.000000,41.084444,0.114123,1141.234568
0x419b9983e9e752e63cec66c1c9e26636bf04fe986c61e76c50742c638a8f3ed0,Sports,140.000000,93.575926,62.600000,1.115542,140.000000,-16.175926,-0.115542,-1155.423276
0x382fcf6fa5afb07e2044d4c939713230fedb39f4172f3c1879a0f9a8105fa6df,Sports,328.000000,141.195303,214.080000,1.083156,328.000000,-27.275303,-0.083156,-831.564119
0x78cdc0058b5d27441dea7843a9880ad02e6a9935d5943d6b8094a465dbddb4a6,Sports,170.000000,115.100000,35.519757,0.885999,170.000000,19.380243,0.114001,1140.014275
0xb848adb1829129d7e5be2dc55cc6bc9e7f3bc5262e3e96ab5e25d8a02184c0e5,Sports,341.774500,79.559407,235.955600,0.923167,341.774500,26.259493,0.076833,768.328030
0xdcd1292e256b6664fe9f83097915f99b9826988cfeb5a0b462174ca3746a0f93,Sports,113.280391,46.261568,57.827392,0.918861,113.280391,9.191431,0.081139,811.387656
0x3026d99d12bf408fbdee6774d1db2b17e356cce22b3ec7c7742be42764befd19,Sports,343.000000,247.755000,126.273655,1.090463,343.000000,-31.028655,-0.090463,-904.625499
0x9f09ebc93676d0f9793187394c83bffa670bb5970623a06ad6251bd4c57fb5b4,Sports,1559.779396,1001.407388,475.018406,0.946561,1559.779396,83.353602,0.053439,534.393534
0x051989a70b68341d03e421b8e151bf425b8c9b3f83fadb159ed173ecbd86aa3d,Sports,52.564101,19.948718,32.564102,0.999024,52.564101,0.051281,0.000976,9.755966
0x6485b83642631b95082a3b9c9b3510d21fb622f2224a3e1f10e72a8715f8c26d,Sports,24.241376,6.787585,17.211378,0.990000,24.241376,0.242413,0.010000,99.999571
0x6a7e2bfe221a63207f4725fdaf383ba277f97534e32335952e06e7c26a9ccc2f,Sports,847.817541,494.749234,324.940858,0.966824,847.817541,28.127449,0.033176,331.763002
0xbc1118688eda364b9466be69123ee0ac98be6fbbf538629c6088982587c931b5,Sports,488.804897,379.946789,41.468001,0.862133,488.804897,67.390107,0.137867,1378.670866
0x59617b2e465cb2ad1a970628154f3824f62c550ae729c34cb66736afcd1f9206,Sports,425.151514,328.651515,97.589896,1.002564,425.151514,-1.089897,-0.002564,-25.635508
0xd77e7eae95571bf6fc16d6cecf17669f7da3958421beb7c90c3cb2a080d70675,Sports,50.000000,9.500000,39.000000,0.970000,50.000000,1.500000,0.030000,300.000000
0xf79580d9fde9fd77d9e43a916f1b1a99e43a3a83d629c7c332ae3bd1a5ca8d27,Sports,35.320000,9.803200,25.655408,1.003924,35.320000,-0.138608,-0.003924,-39.243535
0xe0e228ed5808961acd3a84c25606e8750d8897475b7453ca0223fae010fefc7e,Sports,468.694543,305.484445,171.580485,1.017859,468.694543,-8.370387,-0.017859,-178.589390
0xbd2d26cd424bef96e1f83dd8ed8a5602a1a37f7e0c98a09298fb9871653f799a,Sports,50.000000,22.000000,27.500000,0.990000,50.000000,0.500000,0.010000,100.000000
0x7177b8e27230e03cfad75f421ef82c0e1e3e90ee5fa0b340c1114a7990b3c01a,Sports,50.000000,22.023438,23.000000,0.900469,50.000000,4.976562,0.099531,995.312500
0xfbfde3826edf7174d15d6f3ef563ccbc7f5bbac286e77181f1bc0ec7a9c73c5a,Sports,93.102940,29.792941,61.394347,0.979424,93.102940,1.915652,0.020576,205.756317
0x061ce0824050872a49a79925faffc9d5e1edc870e7f719ed719e7d473fd971e4,Sports,205.882351,201.882352,53.950131,1.242615,205.882351,-49.950132,-0.242615,-2426.149301
0xb887f29814b9eda8ddaef7351113f87fabacb7650a83f7433c49836845d1ba6e,unknown,1491.557166,903.826873,469.847830,0.920967,1491.557166,117.882463,0.079033,790.331513
0x0df61a29421685ac741595f67f3725ceefd3e30c2b2a2316c5e211b09e7d7224,unknown,1224.748490,607.023096,504.148552,0.907265,1224.748490,113.576842,0.092735,927.348290
0xa8ab9afc75a1ca98221b57ff88541e8d5b78dc0f61f6cb65eca3b69dcba7abc9,Sports,431.797667,309.081822,94.637674,0.934974,431.797667,28.078171,0.065026,650.262231
0x6625d31b1b48b2ce8ce9849d083c9d39bd814dbe646f38f35179eaa48728b7b7,Sports,42.222221,34.022222,5.911111,0.945789,42.222221,2.288888,0.054211,542.105083
0xe1bd286f622d26ce1791f44c30e4c0d5b54880b468010d2a2e603b94a70e0579,Sports,348.580000,132.360400,210.276542,0.982951,348.580000,5.943058,0.017049,170.493364
0x58491760eeb2cdb9db653ce1ad903d97f7ab51f3fef68884fe673db73b0a2b7c,Sports,200.000000,92.000000,98.000000,0.950000,200.000000,10.000000,0.050000,500.000000
0xe9d87e6bb7117e26706f0384246d3345c384b810845c178c3cad5c9f49ed28fb,Sports,303.472513,140.130172,106.756520,0.813539,303.472513,56.585821,0.186461,1864.611090
0xf0eb70f8524b9bea1c36da16fdf87091811e95aa1ff1727a33ad2068959df200,Sports,178.882306,167.975207,15.915711,1.027999,178.882306,-5.008612,-0.027999,-279.994804
0x3884052509330bdc1ffee22c241feecd2f3abd899d7e511c59637b3b23b2a1b2,Sports,245.309483,98.178985,123.311986,0.902904,245.309483,23.818512,0.097096,970.957651
0x1a5b2e05a61fc14de1534d60d2fde5567f8fc84caeba67a665ad78f47fac17bd,Sports,107.000000,41.794700,49.097617,0.849461,107.000000,16.107683,0.150539,1505.390978
0xc01984f83a5fe4dcfddd3ff21bc3aced829bb8cc9931e87009d3cc175975288b,Sports,1.298700,0.298701,1.012986,1.010000,1.298700,-0.012987,-0.010000,-100.000000
0x46b8ad02af2291db34010a5105e5dd984f7d668f01dba7a92ac663d1074efe64,unknown,1093.029909,578.609792,330.749172,0.831962,1093.029909,183.670945,0.168038,1680.383527
0xeb6e6cbe41030da12dca0c85e7c0ee3df57c86bb48173ce3d4429da59b50b231,unknown,62.732811,51.510188,5.186827,0.903786,62.732811,6.035796,0.096214,962.143452
0xb43151046b614ac0e50e90f95c3f3867b1dbfbfdf3c1992a7000e2bde9b5d328,unknown,152.633253,125.110031,21.813273,0.962590,152.633253,5.709949,0.037410,374.095978
0x122d115591cb08eaa72e027ddc70de94877269ca31baa97b011179cd69c6eb94,Sports,473.437702,175.293640,297.273305,0.998161,473.437702,0.870757,0.001839,18.392217
0x5507c8960b2605403ef2cc9be5494459e2d374b8317bd4c2f6e36112065ce567,Sports,7.142856,1.571428,6.142857,1.080000,7.142856,-0.571429,-0.080000,-800.001176
