date condition_id structure_type directional bond event_id
2026-02-26 0xfffbeb9cb084ed1f935a6807af4bcca784a659caff36f5f7bc5ab689d2055958 binary 131.574195 0.000005 168148
2026-02-27 0xfffbeb9cb084ed1f935a6807af4bcca784a659caff36f5f7bc5ab689d2055958 binary 131.574195 0.000005 168148
2026-02-28 0xfffbeb9cb084ed1f935a6807af4bcca784a659caff36f5f7bc5ab689d2055958 binary 131.574195 0.000005 168148
2026-03-01 0xfffbeb9cb084ed1f935a6807af4bcca784a659caff36f5f7bc5ab689d2055958 binary 131.574195 0.000005 168148
2026-03-02 0xfffbeb9cb084ed1f935a6807af4bcca784a659caff36f5f7bc5ab689d2055958 binary 131.574195 0.000005 168148
2026-03-03 0xfffbeb9cb084ed1f935a6807af4bcca784a659caff36f5f7bc5ab689d2055958 binary 131.574195 0.000005 168148
2026-03-04 0xfffbeb9cb084ed1f935a6807af4bcca784a659caff36f5f7bc5ab689d2055958 binary 131.574195 0.000005 168148
2026-03-05 0xfffbeb9cb084ed1f935a6807af4bcca784a659caff36f5f7bc5ab689d2055958 binary 131.574195 0.000005 168148
2026-03-06 0xfffbeb9cb084ed1f935a6807af4bcca784a659caff36f5f7bc5ab689d2055958 binary 131.574195 0.000005 168148
2026-03-07 0xfffbeb9cb084ed1f935a6807af4bcca784a659caff36f5f7bc5ab689d2055958 binary 131.574195 0.000005 168148
